record_type,timestamp_utc,timestamp_eastern,sim_name,sim_id,latitude_deg,longitude_deg,altitude_km,speed_km_s,azimuth_from_easley_deg,elevation_from_easley_deg,slant_range_from_easley_km,above_easley_horizon,raan_deg,arg_perigee_deg,mean_anomaly_deg,orbital_phase_0_1,lat_sin,lat_cos,lon_sin,lon_cos,elevation_scaled_m1_p1,position_seed_u64,position_entropy_feature_0_1,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km
CURRENT_SIM,2026-09-15T03:15:07Z,2026-09-14T23:15:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,66.558492,-116.166427,706.279,7.515112,338.63,-9.788,4349.9,0,89.397366,127.307196,345.169711,0.958804753,0.917466669,0.397812657,-0.897516921,-0.440980018,-0.108753904,10881422151087029757,0.589883076797,812.798,-2706.016,6476.988,-1245.967,-2535.889,6476.988
FORWARD_SIM,2026-09-15T03:16:07Z,2026-09-14T23:16:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,63.090794,-119.002145,705.149,7.515249,332.789,-8.911,4220.97,0,89.397986,127.304989,348.814464,0.968929067,0.891724825,0.45257799,-0.874601559,-0.484842358,-0.099007045,2119690022752205474,0.114908626383,784.667,-3116.18,6293.364,-1558.018,-2810.491,6293.364
FORWARD_SIM,2026-09-15T03:17:07Z,2026-09-14T23:17:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,59.583873,-121.284923,703.95,7.515348,326.646,-8.27,4127.676,0,89.398606,127.302782,352.459217,0.97905338,0.862371206,0.506276508,-0.854595505,-0.519294255,-0.091888743,9659346963322389124,0.523634248121,753.363,-3513.707,6084.218,-1866.116,-3071.042,6084.218
FORWARD_SIM,2026-09-15T03:18:07Z,2026-09-14T23:18:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,56.049054,-123.183224,702.7,7.515409,320.285,-7.895,4072.779,0,89.399226,127.300575,356.10397,0.989177694,0.829516023,0.558482916,-0.836924601,-0.547318201,-0.087721183,7605815910579401355,0.412312106689,719.012,-3896.984,5850.395,-2168.89,-3316.531,5850.395
FORWARD_SIM,2026-09-15T03:19:07Z,2026-09-14T23:19:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,52.493456,-124.804746,701.419,7.515431,313.818,-7.804,4057.969,0,89.399846,127.298368,359.748723,0.999302007,0.793283803,0.608852041,-0.821101929,-0.57078159,-0.086709685,779852098267502771,0.042275866958,681.753,-4264.456,5592.845,-2464.982,-3546.017,5592.845
FORWARD_SIM,2026-09-15T03:20:07Z,2026-09-14T23:20:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,48.921778,-126.221277,700.127,7.515415,307.367,-8.001,4083.632,0,89.400466,127.296161,3.393476,0.009426321,0.753813203,0.657088772,-0.806740936,-0.590905291,-0.088902133,6147362261722238155,0.333249175961,641.737,-4614.634,5312.612,-2753.052,-3758.64,5312.612
FORWARD_SIM,2026-09-15T03:21:07Z,2026-09-14T23:21:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,45.337261,-127.482415,698.845,7.515359,301.052,-8.476,4148.792,0,89.401086,127.293954,7.038228,0.019550634,0.711256755,0.702932307,-0.793540143,-0.608517906,-0.094178366,17529217995594030474,0.95026081164,599.125,-4946.096,5010.832,-3031.788,-3953.616,5010.832
FORWARD_SIM,2026-09-15T03:22:07Z,2026-09-14T23:22:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,41.742233,-128.623518,697.595,7.515265,294.976,-9.205,4251.24,0,89.401706,127.291747,10.682981,0.029674948,0.665780529,0.746147631,-0.781264325,-0.624200331,-0.102274004,15769884947268076598,0.854887175984,554.091,-5257.5,4688.729,-3299.908,-4130.245,4688.729
FORWARD_SIM,2026-09-15T03:23:07Z,2026-09-14T23:23:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,38.138441,-129.670494,696.397,7.515133,289.215,-10.155,4387.823,0,89.402325,127.28954,14.327734,0.039799262,0.617563712,0.786520859,-0.769728407,-0.638371505,-0.112829049,10607264951797206308,0.575020985243,506.816,-5547.582,4347.611,-3556.167,-4287.915,4347.611
FORWARD_SIM,2026-09-15T03:24:07Z,2026-09-14T23:24:07-04:00,ASTERION-Q7 MIRRORGLASS,UNKNOWN-SIM-01 / SIM-94731,34.527247,-130.642801,695.274,7.514964,283.815,-11.29,4554.793,0,89.402945,127.287333,17.972487,0.049923575,0.566798088,0.823856739,-0.758784958,-0.651341222,-0.125443669,3970871132874274433,0.215261355446,457.491,-5815.169,3988.863,-3799.363,-4426.097,3988.863
